Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-09 00:00:00-05:00,183.92,185.15,182.73,185.14,42841800,0,0
2024-01-10 00:00:00-05:00,184.35,186.4,183.92,186.19,46792900,0,0
2024-01-11 00:00:00-05:00,186.54,187.05,183.62,185.59,49128400,0,0
2024-01-12 00:00:00-05:00,186.06,186.74,185.19,185.92,40444700,0,0
2024-01-16 00:00:00-05:00,182.16,184.26,180.93,183.63,65603000,0,0
2024-01-17 00:00:00-05:00,181.27,182.93,180.3,182.68,47317400,0,0
2024-01-18 00:00:00-05:00,186.09,189.14,185.83,188.63,78005800,0,0
2024-01-19 00:00:00-05:00,189.33,191.95,188.82,191.56,68741000,0,0
2024-01-22 00:00:00-05:00,192.3,195.33,192.26,193.89,60133900,0,0
2024-01-23 00:00:00-05:00,195.02,195.75,193.83,195.18,42300900,0,0
