Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-25 00:00:00+00:00,0.5939,0.6336,0.5918,0.6257,636249032,0.0,0.0
2023-12-26 00:00:00+00:00,0.6256,0.6264,0.5809,0.6088,856384699,0.0,0.0
2023-12-27 00:00:00+00:00,0.6089,0.6429,0.5869,0.6335,856202366,0.0,0.0
2023-12-28 00:00:00+00:00,0.6337,0.6755,0.612,0.6174,1241270531,0.0,0.0
2023-12-29 00:00:00+00:00,0.6174,0.6253,0.5959,0.6085,731991586,0.0,0.0
2023-12-30 00:00:00+00:00,0.6085,0.6128,0.5952,0.602,396120733,0.0,0.0
2023-12-31 00:00:00+00:00,0.6019,0.6092,0.5883,0.5942,413744730,0.0,0.0
2024-01-01 00:00:00+00:00,0.5942,0.6238,0.5927,0.6231,397524048,0.0,0.0
2024-01-02 00:00:00+00:00,0.6231,0.6367,0.6036,0.6057,607247161,0.0,0.0
2024-01-03 00:00:00+00:00,0.6057,0.618,0.5251,0.5573,1127440527,0.0,0.0
2024-01-04 00:00:00+00:00,0.5573,0.5778,0.5529,0.5706,591385300,0.0,0.0
2024-01-05 00:00:00+00:00,0.5705,0.5727,0.5267,0.5412,632156325,0.0,0.0
2024-01-06 00:00:00+00:00,0.5413,0.5422,0.5095,0.5231,456993353,0.0,0.0
2024-01-07 00:00:00+00:00,0.5232,0.5295,0.4903,0.4942,403756656,0.0,0.0
2024-01-08 00:00:00+00:00,0.4942,0.5429,0.4682,0.5409,745831623,0.0,0.0
2024-01-09 00:00:00+00:00,0.5411,0.5426,0.499,0.5115,655557451,0.0,0.0
2024-01-10 00:00:00+00:00,0.5116,0.5872,0.4944,0.5666,989682776,0.0,0.0
2024-01-11 00:00:00+00:00,0.5666,0.6158,0.5625,0.5822,1154998819,0.0,0.0
2024-01-12 00:00:00+00:00,0.5821,0.5877,0.5361,0.5473,683350420,0.0,0.0
2024-01-13 00:00:00+00:00,0.5473,0.553,0.5371,0.5493,373150180,0.0,0.0
2024-01-14 00:00:00+00:00,0.5494,0.5496,0.526,0.526,346165271,0.0,0.0
2024-01-15 00:00:00+00:00,0.5259,0.5405,0.5249,0.5282,330276278,0.0,0.0
2024-01-16 00:00:00+00:00,0.5281,0.546,0.5275,0.5357,318265757,0.0,0.0
2024-01-17 00:00:00+00:00,0.5357,0.5388,0.5238,0.527,298718568,0.0,0.0
2024-01-18 00:00:00+00:00,0.5271,0.5272,0.4975,0.5019,381732750,0.0,0.0
2024-01-19 00:00:00+00:00,0.5019,0.5033,0.4743,0.5032,433001996,0.0,0.0
2024-01-20 00:00:00+00:00,0.5031,0.5168,0.4996,0.515,336655525,0.0,0.0
2024-01-21 00:00:00+00:00,0.515,0.5196,0.5031,0.5031,234978951,0.0,0.0
2024-01-22 00:00:00+00:00,0.5032,0.5051,0.478,0.4785,444335289,0.0,0.0
2024-01-23 00:00:00+00:00,0.4785,0.4853,0.4497,0.4767,538390729,0.0,0.0
