Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-26 11:00:00-03:00,940.0,941.0,906.0,927.0,0,0.0,0.0
2023-12-26 12:00:00-03:00,929.0,929.5,918.0,918.5,184013,0.0,0.0
2023-12-26 13:00:00-03:00,918.5,920.0,904.0,905.0,115977,0.0,0.0
2023-12-26 14:00:00-03:00,904.5,904.5,878.0,880.0,215534,0.0,0.0
2023-12-26 15:00:00-03:00,884.0,888.0,870.0,876.5,225774,0.0,0.0
2023-12-26 16:00:00-03:00,877.5,897.0,876.5,887.0,305067,0.0,0.0
2023-12-27 11:00:00-03:00,890.0,915.0,860.0,870.0,0,0.0,0.0
2023-12-27 12:00:00-03:00,870.0,885.0,864.0,866.0,168248,0.0,0.0
2023-12-27 13:00:00-03:00,869.5,870.0,856.0,859.0,243936,0.0,0.0
2023-12-27 14:00:00-03:00,857.0,870.0,847.0,849.0,244146,0.0,0.0
2023-12-27 15:00:00-03:00,849.0,860.0,841.0,857.0,294600,0.0,0.0
2023-12-27 16:00:00-03:00,856.5,865.0,828.0,840.0,353641,0.0,0.0
2023-12-28 11:00:00-03:00,840.0,885.0,840.0,883.5,0,0.2,0.0
2023-12-28 12:00:00-03:00,883.5,899.5,883.0,886.5,337075,0.0,0.0
2023-12-28 13:00:00-03:00,886.0,886.0,849.0,873.0,383525,0.0,0.0
2023-12-28 14:00:00-03:00,873.0,888.0,867.5,868.0,141390,0.0,0.0
2023-12-28 15:00:00-03:00,867.5,871.0,860.0,863.0,149253,0.0,0.0
2023-12-28 16:00:00-03:00,863.0,872.0,860.0,870.0,188965,0.0,0.0
2023-12-29 16:00:00-03:00,920.5,920.5,920.5,920.5,0,0.0,0.0
2024-01-02 11:00:00-03:00,920.0,920.0,900.0,911.0,0,0.0,0.0
2024-01-02 12:00:00-03:00,911.0,915.0,906.0,907.0,63821,0.0,0.0
2024-01-02 13:00:00-03:00,914.0,914.0,894.0,900.0,95929,0.0,0.0
2024-01-02 14:00:00-03:00,900.0,905.0,899.5,905.0,35244,0.0,0.0
2024-01-02 15:00:00-03:00,905.0,912.0,900.0,904.0,77480,0.0,0.0
2024-01-02 16:00:00-03:00,903.0,906.0,894.5,902.5,188189,0.0,0.0
2024-01-03 11:00:00-03:00,905.0,930.0,890.5,921.5,0,0.0,0.0
2024-01-03 12:00:00-03:00,921.0,927.0,920.5,927.0,214810,0.0,0.0
2024-01-03 13:00:00-03:00,927.0,950.0,925.5,947.0,320449,0.0,0.0
2024-01-03 14:00:00-03:00,946.0,947.0,931.0,946.0,258149,0.0,0.0
2024-01-03 15:00:00-03:00,946.0,953.0,945.5,951.0,290312,0.0,0.0
2024-01-03 16:00:00-03:00,951.0,951.0,930.0,945.0,486291,0.0,0.0
2024-01-04 11:00:00-03:00,950.0,977.5,947.5,975.0,0,0.0,0.0
2024-01-04 12:00:00-03:00,975.0,987.0,967.5,985.5,214517,0.0,0.0
2024-01-04 13:00:00-03:00,985.5,987.0,970.0,987.0,147140,0.0,0.0
