Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,85.46,86.96,84.21,85.82,76706000,0.0,0.0
2023-01-04 00:00:00-05:00,86.55,86.98,83.36,85.14,68885100,0.0,0.0
2023-01-05 00:00:00-05:00,85.33,85.42,83.07,83.12,67930800,0.0,0.0
2023-01-06 00:00:00-05:00,83.03,86.4,81.43,86.08,83303400,0.0,0.0
2023-01-09 00:00:00-05:00,87.46,89.48,87.08,87.36,65266100,0.0,0.0
2023-01-10 00:00:00-05:00,87.57,90.19,87.29,89.87,67756600,0.0,0.0
2023-01-11 00:00:00-05:00,90.93,95.26,90.93,95.09,103126200,0.0,0.0
2023-01-12 00:00:00-05:00,96.93,97.19,93.5,95.27,85254800,0.0,0.0
2023-01-13 00:00:00-05:00,94.18,98.37,94.12,98.12,85549400,0.0,0.0
2023-01-17 00:00:00-05:00,98.68,98.89,95.73,96.05,72755000,0.0,0.0
2023-01-18 00:00:00-05:00,97.25,99.32,95.38,95.46,79570400,0.0,0.0
2023-01-19 00:00:00-05:00,94.74,95.44,92.86,93.68,69002700,0.0,0.0
2023-01-20 00:00:00-05:00,93.86,97.35,93.2,97.25,67481500,0.0,0.0
2023-01-23 00:00:00-05:00,97.56,97.78,95.86,97.52,76501100,0.0,0.0
2023-01-24 00:00:00-05:00,96.93,98.09,96.0,96.32,66929500,0.0,0.0
2023-01-25 00:00:00-05:00,92.56,97.24,91.52,97.18,94261600,0.0,0.0
2023-01-26 00:00:00-05:00,98.24,99.49,96.92,99.22,68523600,0.0,0.0
2023-01-27 00:00:00-05:00,99.53,103.49,99.53,102.24,87775600,0.0,0.0
2023-01-30 00:00:00-05:00,101.09,101.74,99.01,100.55,70691900,0.0,0.0
2023-01-31 00:00:00-05:00,101.16,103.35,101.14,103.13,66527300,0.0,0.0
2023-02-01 00:00:00-05:00,102.53,106.24,101.24,105.15,80450100,0.0,0.0
2023-02-02 00:00:00-05:00,110.25,114.0,108.88,112.91,158154200,0.0,0.0
2023-02-03 00:00:00-05:00,105.26,108.78,102.52,103.39,144374800,0.0,0.0
2023-02-06 00:00:00-05:00,102.93,103.95,100.65,102.18,81945200,0.0,0.0
2023-02-07 00:00:00-05:00,101.17,102.41,98.08,102.11,119501300,0.0,0.0
2023-02-08 00:00:00-05:00,102.04,102.67,98.78,100.05,75878300,0.0,0.0
2023-02-09 00:00:00-05:00,101.32,101.78,97.57,98.24,64622500,0.0,0.0
2023-02-10 00:00:00-05:00,97.56,98.82,96.23,97.61,52740100,0.0,0.0
2023-02-13 00:00:00-05:00,97.85,99.68,96.91,99.54,52841500,0.0,0.0
2023-02-14 00:00:00-05:00,98.41,100.92,97.52,99.7,56202900,0.0,0.0
2023-02-15 00:00:00-05:00,99.09,101.17,98.45,101.16,47957600,0.0,0.0
2023-02-16 00:00:00-05:00,99.21,100.63,98.1,98.15,56339200,0.0,0.0
2023-02-17 00:00:00-05:00,97.8,97.94,95.65,97.2,60029400,0.0,0.0
2023-02-21 00:00:00-05:00,95.34,95.61,94.27,94.58,56580400,0.0,0.0
2023-02-22 00:00:00-05:00,95.1,97.01,94.8,95.79,59534100,0.0,0.0
2023-02-23 00:00:00-05:00,96.12,96.43,93.67,95.82,48467000,0.0,0.0
2023-02-24 00:00:00-05:00,93.53,94.14,92.32,93.5,57053800,0.0,0.0
2023-02-27 00:00:00-05:00,94.28,94.78,93.14,93.76,47470300,0.0,0.0
2023-02-28 00:00:00-05:00,93.14,94.69,92.92,94.23,43959300,0.0,0.0
2023-03-01 00:00:00-05:00,93.87,94.68,91.59,92.17,52299500,0.0,0.0
2023-03-02 00:00:00-05:00,91.41,92.23,90.39,92.13,55509400,0.0,0.0
2023-03-03 00:00:00-05:00,92.74,94.94,92.66,94.9,55759600,0.0,0.0
2023-03-06 00:00:00-05:00,95.19,96.55,93.74,93.75,52112400,0.0,0.0
2023-03-07 00:00:00-05:00,94.06,95.09,92.78,93.55,49100700,0.0,0.0
2023-03-08 00:00:00-05:00,93.6,94.17,92.18,93.92,44899100,0.0,0.0
2023-03-09 00:00:00-05:00,93.68,96.21,92.18,92.25,56218700,0.0,0.0
2023-03-10 00:00:00-05:00,92.67,93.57,90.25,90.73,69827500,0.0,0.0
2023-03-13 00:00:00-04:00,89.97,94.02,88.12,92.43,72397100,0.0,0.0
2023-03-14 00:00:00-04:00,93.83,95.07,92.71,94.88,60912700,0.0,0.0
2023-03-15 00:00:00-04:00,93.22,96.67,93.07,96.2,70731800,0.0,0.0
2023-03-16 00:00:00-04:00,95.75,100.99,95.61,100.04,84446900,0.0,0.0
2023-03-17 00:00:00-04:00,99.79,100.66,97.46,98.95,87300200,0.0,0.0
2023-03-20 00:00:00-04:00,98.41,98.48,95.7,97.71,62388900,0.0,0.0
2023-03-21 00:00:00-04:00,98.14,100.85,98.0,100.61,58597300,0.0,0.0
2023-03-22 00:00:00-04:00,100.45,102.1,98.61,98.7,57475400,0.0,0.0
2023-03-23 00:00:00-04:00,100.43,101.06,97.62,98.71,57559300,0.0,0.0
2023-03-24 00:00:00-04:00,98.07,98.3,96.4,98.13,56095400,0.0,0.0
2023-03-27 00:00:00-04:00,99.07,99.34,97.08,98.04,46721300,0.0,0.0
2023-03-28 00:00:00-04:00,98.11,98.44,96.29,97.24,38720100,0.0,0.0
2023-03-29 00:00:00-04:00,98.69,100.42,98.56,100.25,49783300,0.0,0.0
2023-03-30 00:00:00-04:00,101.55,103.04,101.01,102.0,53633400,0.0,0.0
2023-03-31 00:00:00-04:00,102.16,103.49,101.95,103.29,56750300,0.0,0.0
2023-04-03 00:00:00-04:00,102.3,103.29,101.43,102.41,41135700,0.0,0.0
2023-04-04 00:00:00-04:00,102.75,104.2,102.11,103.95,48662500,0.0,0.0
2023-04-05 00:00:00-04:00,103.91,103.91,100.75,101.1,45175400,0.0,0.0
2023-04-06 00:00:00-04:00,100.75,102.38,99.8,102.06,43808000,0.0,0.0
2023-04-10 00:00:00-04:00,100.96,102.2,99.57,102.17,37261200,0.0,0.0
2023-04-11 00:00:00-04:00,100.8,101.0,99.01,99.92,60417800,0.0,0.0
2023-04-12 00:00:00-04:00,100.4,100.51,97.71,97.83,56735000,0.0,0.0
2023-04-13 00:00:00-04:00,98.95,102.57,98.71,102.4,67925100,0.0,0.0
2023-04-14 00:00:00-04:00,102.07,103.2,101.11,102.51,51450500,0.0,0.0
2023-04-17 00:00:00-04:00,103.16,103.73,101.59,102.74,39919500,0.0,0.0
2023-04-18 00:00:00-04:00,103.95,104.2,101.52,102.3,39790500,0.0,0.0
2023-04-19 00:00:00-04:00,101.58,105.12,101.39,104.3,58398900,0.0,0.0
2023-04-20 00:00:00-04:00,103.53,105.25,103.21,103.81,57696900,0.0,0.0
2023-04-21 00:00:00-04:00,106.1,108.15,105.08,106.96,86774200,0.0,0.0
2023-04-24 00:00:00-04:00,107.66,109.23,105.07,106.21,69575600,0.0,0.0
2023-04-25 00:00:00-04:00,104.91,105.45,102.45,102.57,65026800,0.0,0.0
2023-04-26 00:00:00-04:00,105.04,106.62,104.1,104.98,73803800,0.0,0.0
2023-04-27 00:00:00-04:00,108.16,110.86,106.8,109.82,149961200,0.0,0.0
2023-04-28 00:00:00-04:00,107.73,109.48,104.33,105.45,130565000,0.0,0.0
