Open,High,Low,Close,Volume
2023-12-27 13:00:00-03:00,1.174077397081419e-06,1.1742544074877515e-06,1.1667341368593043e-06,1.1732084885807126e-06,0
2023-12-27 17:00:00-03:00,1.1737369050024427e-06,1.1750353223760612e-06,1.1681194109769422e-06,1.1685991694321274e-06,811694
2023-12-27 21:00:00-03:00,1.1678122291414184e-06,1.440938262931013e-06,1.1678122291414184e-06,1.2665665281019756e-06,38205820
2023-12-28 01:00:00-03:00,1.2646487448364496e-06,1.2781048326360178e-06,1.2070785260220873e-06,1.2161193581050611e-06,10390760
2023-12-28 05:00:00-03:00,1.215572183355107e-06,1.2175709116490907e-06,1.208718686029897e-06,1.2102226492061163e-06,1236496
2023-12-28 09:00:00-03:00,1.21019502330455e-06,1.21019502330455e-06,1.1891387430296163e-06,1.190871671497007e-06,672992
2023-12-28 13:00:00-03:00,1.1909346540051047e-06,1.3058180456937407e-06,1.188466285384493e-06,1.2337693533481797e-06,21673744
2023-12-28 17:00:00-03:00,1.2332556025285157e-06,1.2737000361084938e-06,1.228991209245578e-06,1.2302259619900724e-06,7652448
2023-12-28 21:00:00-03:00,1.2295930673644762e-06,1.237980882251577e-06,1.2006987617496634e-06,1.2149833992225467e-06,0
2023-12-29 01:00:00-03:00,1.2149471331213135e-06,1.2181051260995446e-06,1.1984308230239549e-06,1.1984308230239549e-06,743960
2023-12-29 05:00:00-03:00,1.1981684338024934e-06,1.2267593092474272e-06,1.1977816711805644e-06,1.2255568435648456e-06,1297992
2023-12-29 09:00:00-03:00,1.2293947975194897e-06,1.2366256214590976e-06,1.207792138302466e-06,1.207792138302466e-06,1566048
2023-12-29 13:00:00-03:00,1.2056792684234097e-06,1.2059618939019856e-06,1.1914468132090406e-06,1.1979393548244843e-06,454648
2023-12-29 17:00:00-03:00,1.1964669965891517e-06,1.2017808330710977e-06,1.187671955449332e-06,1.1936059536310495e-06,0
2023-12-29 21:00:00-03:00,1.193653133668704e-06,1.1962692951783538e-06,1.1896578371306532e-06,1.1904683105967706e-06,52256
2023-12-30 01:00:00-03:00,1.1911445199075388e-06,1.1962031294387998e-06,1.1904012353625149e-06,1.1910677812920767e-06,0
2023-12-30 05:00:00-03:00,1.1921088116650935e-06,1.1923538068003836e-06,1.1758821756302495e-06,1.1778053021771484e-06,88196
2023-12-30 09:00:00-03:00,1.1789284144470003e-06,1.184172106150072e-06,1.1752525779229472e-06,1.1810586784122279e-06,133660
2023-12-30 13:00:00-03:00,1.1820374083981733e-06,1.1883248589583673e-06,1.1807672990471474e-06,1.1855792081405525e-06,436632
2023-12-30 17:00:00-03:00,1.1846742609122884e-06,1.1864347015944077e-06,1.1825262618003762e-06,1.1836059456982184e-06,0
2023-12-30 21:00:00-03:00,1.1882723356393399e-06,1.1928328831345425e-06,1.175925262941746e-06,1.1780999784605228e-06,1529640
2023-12-31 01:00:00-03:00,1.1788911251642276e-06,1.1846398138004588e-06,1.177582930722565e-06,1.1825497949757846e-06,357884
2023-12-31 05:00:00-03:00,1.1825534329545917e-06,1.1911606634384952e-06,1.1781953617173713e-06,1.18775938062754e-06,556518
2023-12-31 09:00:00-03:00,1.1865440683322959e-06,1.1903922541023348e-06,1.1801371329056565e-06,1.1807069313363172e-06,536774
2023-12-31 13:00:00-03:00,1.181448624265613e-06,1.1867286957567558e-06,1.1810845990112284e-06,1.1859839332828415e-06,111870
2023-12-31 17:00:00-03:00,1.1865283795486903e-06,1.1867468856507912e-06,1.172183260678139e-06,1.1751784541047527e-06,1292072
2023-12-31 21:00:00-03:00,1.1752562159017543e-06,1.1780123259086395e-06,1.166931497209589e-06,1.166931497209589e-06,0
2024-01-01 01:00:00-03:00,1.166773472505156e-06,1.1679310318868374e-06,1.1539957540662726e-06,1.156018356596178e-06,2225212
2024-01-01 05:00:00-03:00,1.1568354238988832e-06,1.1570150491024833e-06,1.1529843959579011e-06,1.1568569107112125e-06,16966
2024-01-01 09:00:00-03:00,1.1576909173527383e-06,1.1746631116693607e-06,1.153213588622748e-06,1.1746631116693607e-06,1648406
2024-01-01 13:00:00-03:00,1.1685986009979388e-06,1.1790389180532657e-06,1.1661553571684635e-06,1.177789158646192e-06,1673588
2024-01-01 17:00:00-03:00,1.1784104572143406e-06,1.1884308150911238e-06,1.1751984629881917e-06,1.1884308150911238e-06,778590
2024-01-01 21:00:00-03:00,1.188121586892521e-06,1.2017216022286448e-06,1.186200165648188e-06,1.1978695511061233e-06,750798
2024-01-02 01:00:00-03:00,1.1958895811403636e-06,1.1974914286838612e-06,1.1949896361329593e-06,1.1969870001848903e-06,307680
2024-01-02 05:00:00-03:00,1.1960438541791518e-06,1.2634764061658643e-06,1.1960438541791518e-06,1.2279430166017846e-06,7880184
2024-01-02 09:00:00-03:00,1.2284440344956238e-06,1.2376557378956932e-06,1.2138979172959807e-06,1.2176076324976748e-06,879108
2024-01-02 13:00:00-03:00,1.2171864227639162e-06,1.2199392358525074e-06,1.2109946965210838e-06,1.2126113233534852e-06,709684
2024-01-02 17:00:00-03:00,1.2119257917220239e-06,1.2165846783318557e-06,1.2110082252547727e-06,1.2133854170315317e-06,0
2024-01-02 21:00:00-03:00,1.2139176988057443e-06,1.2155152262494084e-06,1.2034626024615136e-06,1.2034626024615136e-06,47564
2024-01-03 01:00:00-03:00,1.2043113883919432e-06,1.2049765700794524e-06,1.1905001429113327e-06,1.1961167274421314e-06,1320408
2024-01-03 05:00:00-03:00,1.1954812180192675e-06,1.2071458286300185e-06,1.1740303307306021e-06,1.1740303307306021e-06,0
2024-01-03 09:00:00-03:00,1.1695902912833844e-06,1.1695902912833844e-06,1.1030273299184046e-06,1.1098992445113254e-06,5543472
