Open,High,Low,Close,Volume
2023-12-27 13:00:00-03:00,6370.48388671875,6370.48388671875,6370.48388671875,6370.48388671875,0
2023-12-27 17:00:00-03:00,6370.48388671875,6370.48388671875,5851.5703125,5888.57177734375,97604
2023-12-27 21:00:00-03:00,5886.2919921875,6080.2529296875,5886.2919921875,6017.64794921875,2169
2023-12-28 01:00:00-03:00,6011.3662109375,6033.20263671875,5902.15478515625,5924.705078125,0
2023-12-28 05:00:00-03:00,5922.92041015625,5988.05419921875,5907.16015625,5986.52197265625,0
2023-12-28 09:00:00-03:00,5981.43359375,5990.76318359375,5871.625,5871.625,0
2023-12-28 13:00:00-03:00,5872.57958984375,5919.57568359375,5857.0,5890.01318359375,0
2023-12-28 17:00:00-03:00,5889.57763671875,6053.90576171875,5840.11572265625,6053.90576171875,0
2023-12-28 21:00:00-03:00,6053.90576171875,6053.90576171875,6053.90576171875,6053.90576171875,0
2023-12-29 01:00:00-03:00,6053.90576171875,6053.90576171875,5830.06787109375,5830.06787109375,1458
2023-12-29 05:00:00-03:00,5830.06787109375,5830.06787109375,5830.06787109375,5830.06787109375,0
2023-12-29 09:00:00-03:00,5830.06787109375,5895.1455078125,5830.06787109375,5895.1455078125,442
2023-12-29 13:00:00-03:00,5895.1455078125,5895.1455078125,5895.1455078125,5895.1455078125,0
2023-12-29 17:00:00-03:00,5895.1455078125,5895.1455078125,5895.1455078125,5895.1455078125,0
2023-12-29 21:00:00-03:00,5895.1455078125,5895.1455078125,5654.4150390625,5654.4150390625,2826
2023-12-30 01:00:00-03:00,5654.4150390625,5654.4150390625,5654.4150390625,5654.4150390625,0
2023-12-30 05:00:00-03:00,5654.4150390625,5654.4150390625,5654.4150390625,5654.4150390625,0
2023-12-30 09:00:00-03:00,5654.4150390625,5666.732421875,5654.4150390625,5666.732421875,138
2023-12-30 13:00:00-03:00,5666.732421875,5666.732421875,5666.732421875,5666.732421875,0
2023-12-30 17:00:00-03:00,5666.732421875,5666.732421875,5666.732421875,5666.732421875,0
2023-12-30 21:00:00-03:00,5666.732421875,5666.732421875,5666.732421875,5666.732421875,0
2023-12-31 01:00:00-03:00,5666.732421875,5666.732421875,5666.732421875,5666.732421875,0
2023-12-31 05:00:00-03:00,5666.732421875,5666.732421875,5666.732421875,5666.732421875,0
2023-12-31 09:00:00-03:00,5666.732421875,5666.732421875,5666.732421875,5666.732421875,0
