Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-27 18:00:00-03:00,8.828598022460938,8.86233139038086,8.814237594604492,8.814237594604492,0,0.0,0.0
2023-12-27 19:00:00-03:00,8.81433391571045,8.81433391571045,8.637574195861816,8.641530990600586,2042560,0.0,0.0
2023-12-27 20:00:00-03:00,8.641382217407227,8.71196174621582,8.641382217407227,8.702571868896484,0,0.0,0.0
2023-12-27 21:00:00-03:00,8.70330810546875,8.897839546203613,8.67921257019043,8.85501480102539,10193472,0.0,0.0
2023-12-27 22:00:00-03:00,8.854755401611328,8.899014472961426,8.794711112976074,8.795522689819336,9318176,0.0,0.0
2023-12-27 23:00:00-03:00,8.795452117919922,8.796911239624023,8.654851913452148,8.654851913452148,0,0.0,0.0
2023-12-28 00:00:00-03:00,8.655275344848633,8.663049697875977,8.585274696350098,8.586352348327637,1578080,0.0,0.0
2023-12-28 01:00:00-03:00,8.584850311279297,8.686795234680176,8.584850311279297,8.609031677246094,7058656,0.0,0.0
2023-12-28 02:00:00-03:00,8.606057167053223,8.606057167053223,8.53481674194336,8.577808380126953,4889856,0.0,0.0
2023-12-28 03:00:00-03:00,8.577802658081055,8.578360557556152,8.51641845703125,8.518068313598633,3486784,0.0,0.0
2023-12-28 04:00:00-03:00,8.517391204833984,8.558806419372559,8.474496841430664,8.558806419372559,0,0.0,0.0
2023-12-28 05:00:00-03:00,8.55899429321289,8.645008087158203,8.551460266113281,8.62960147857666,0,0.0,0.0
2023-12-28 06:00:00-03:00,8.628811836242676,8.655060768127441,8.62473201751709,8.647485733032227,0,0.0,0.0
2023-12-28 07:00:00-03:00,8.64507007598877,8.745281219482422,8.6391019821167,8.730630874633789,0,0.0,0.0
2023-12-28 08:00:00-03:00,8.719839096069336,8.739033699035645,8.665994644165039,8.694339752197266,0,0.0,0.0
2023-12-28 09:00:00-03:00,8.69478988647461,8.706503868103027,8.531601905822754,8.531601905822754,0,0.0,0.0
2023-12-28 10:00:00-03:00,8.52528190612793,8.56777286529541,8.491602897644043,8.53679370880127,8490624,0.0,0.0
2023-12-28 11:00:00-03:00,8.533906936645508,8.533906936645508,8.313275337219238,8.334211349487305,20588064,0.0,0.0
2023-12-28 12:00:00-03:00,8.338759422302246,8.396184921264648,8.33284854888916,8.37431526184082,0,0.0,0.0
2023-12-28 13:00:00-03:00,8.373970031738281,8.452640533447266,8.35837173461914,8.428804397583008,0,0.0,0.0
2023-12-28 14:00:00-03:00,8.428472518920898,8.48608112335205,8.407255172729492,8.41537094116211,0,0.0,0.0
2023-12-28 15:00:00-03:00,8.415637969970703,8.461372375488281,8.369562149047852,8.41445255279541,0,0.0,0.0
2023-12-28 16:00:00-03:00,8.41518497467041,8.46556568145752,8.411136627197266,8.452046394348145,0,0.0,0.0
2023-12-28 17:00:00-03:00,8.451748847961426,8.451748847961426,8.336947441101074,8.391535758972168,0,0.0,0.0
2023-12-28 18:00:00-03:00,8.391582489013672,8.444502830505371,8.3412446975708,8.3562593460083,0,0.0,0.0
2023-12-28 19:00:00-03:00,8.356468200683594,8.448575973510742,8.356468200683594,8.448575973510742,0,0.0,0.0
2023-12-28 20:00:00-03:00,8.448819160461426,8.501106262207031,8.435684204101562,8.450101852416992,0,0.0,0.0
2023-12-28 21:00:00-03:00,8.450277328491211,8.507254600524902,8.330580711364746,8.330580711364746,0,0.0,0.0
2023-12-28 22:00:00-03:00,8.330121994018555,8.335981369018555,8.185845375061035,8.215690612792969,14242144,0.0,0.0
2023-12-28 23:00:00-03:00,8.216556549072266,8.307045936584473,8.211075782775879,8.300604820251465,0,0.0,0.0
2023-12-29 00:00:00-03:00,8.302926063537598,8.460884094238281,8.302926063537598,8.451915740966797,0,0.0,0.0
2023-12-29 01:00:00-03:00,8.451210975646973,8.478484153747559,8.404191970825195,8.413966178894043,0,0.0,0.0
2023-12-29 02:00:00-03:00,8.413846015930176,8.438135147094727,8.372064590454102,8.437971115112305,0,0.0,0.0
2023-12-29 03:00:00-03:00,8.438924789428711,8.472777366638184,8.412018775939941,8.460845947265625,451712,0.0,0.0
2023-12-29 04:00:00-03:00,8.461609840393066,8.476537704467773,8.31862735748291,8.31862735748291,0,0.0,0.0
2023-12-29 05:00:00-03:00,8.319618225097656,8.590243339538574,8.319618225097656,8.576654434204102,9817984,0.0,0.0
2023-12-29 06:00:00-03:00,8.578385353088379,8.615120887756348,8.545808792114258,8.585535049438477,9267648,0.0,0.0
2023-12-29 07:00:00-03:00,8.593647956848145,8.606829643249512,8.545707702636719,8.545707702636719,139520,0.0,0.0
2023-12-29 08:00:00-03:00,8.540363311767578,8.59351921081543,8.522979736328125,8.586644172668457,6912960,0.0,0.0
2023-12-29 09:00:00-03:00,8.584961891174316,8.584961891174316,8.480598449707031,8.487907409667969,0,0.0,0.0
2023-12-29 10:00:00-03:00,8.488334655761719,8.642976760864258,8.473542213439941,8.642976760864258,0,0.0,0.0
2023-12-29 11:00:00-03:00,8.643266677856445,8.65616226196289,8.60067081451416,8.65616226196289,0,0.0,0.0
2023-12-29 12:00:00-03:00,8.660690307617188,8.67758560180664,8.359643936157227,8.361568450927734,7815424,0.0,0.0
2023-12-29 13:00:00-03:00,8.364965438842773,8.396971702575684,8.240488052368164,8.240488052368164,18842528,0.0,0.0
2023-12-29 14:00:00-03:00,8.240835189819336,8.275555610656738,8.19961166381836,8.21243953704834,13057248,0.0,0.0
2023-12-29 15:00:00-03:00,8.21353530883789,8.283724784851074,8.21353530883789,8.277154922485352,4194240,0.0,0.0
2023-12-29 16:00:00-03:00,8.27757740020752,8.290471076965332,8.237320899963379,8.28530502319336,0,0.0,0.0
2023-12-29 17:00:00-03:00,8.284570693969727,8.284570693969727,8.224601745605469,8.242270469665527,0,0.0,0.0
2023-12-29 18:00:00-03:00,8.242704391479492,8.287548065185547,8.220443725585938,8.220785140991211,0,0.0,0.0
2023-12-29 19:00:00-03:00,8.22390365600586,8.234580993652344,8.135847091674805,8.214444160461426,14341760,0.0,0.0
2023-12-29 20:00:00-03:00,8.213958740234375,8.291794776916504,8.213958740234375,8.291794776916504,0,0.0,0.0
2023-12-29 21:00:00-03:00,8.292731285095215,8.372662544250488,8.285423278808594,8.372662544250488,0,0.0,0.0
2023-12-29 22:00:00-03:00,8.372361183166504,8.42029094696045,8.353979110717773,8.415852546691895,0,0.0,0.0
2023-12-29 23:00:00-03:00,8.416389465332031,8.4287691116333,8.328575134277344,8.336804389953613,0,0.0,0.0
2023-12-30 00:00:00-03:00,8.337247848510742,8.431007385253906,8.335448265075684,8.382972717285156,0,0.0,0.0
2023-12-30 01:00:00-03:00,8.38131046295166,8.45914363861084,8.371975898742676,8.45914363861084,0,0.0,0.0
2023-12-30 02:00:00-03:00,8.458847999572754,8.474199295043945,8.423398971557617,8.451859474182129,0,0.0,0.0
2023-12-30 03:00:00-03:00,8.451810836791992,8.455023765563965,8.408560752868652,8.408560752868652,0,0.0,0.0
2023-12-30 04:00:00-03:00,8.408689498901367,8.413512229919434,8.32481575012207,8.32481575012207,0,0.0,0.0
2023-12-30 05:00:00-03:00,8.324773788452148,8.337481498718262,8.208756446838379,8.212653160095215,0,0.0,0.0
2023-12-30 06:00:00-03:00,8.208942413330078,8.223621368408203,8.13432788848877,8.14946460723877,0,0.0,0.0
2023-12-30 07:00:00-03:00,8.148955345153809,8.201497077941895,8.14438533782959,8.198225975036621,0,0.0,0.0
2023-12-30 08:00:00-03:00,8.19918155670166,8.232969284057617,8.19918155670166,8.208027839660645,0,0.0,0.0
2023-12-30 09:00:00-03:00,8.207865715026855,8.26347541809082,8.203904151916504,8.221322059631348,0,0.0,0.0
2023-12-30 10:00:00-03:00,8.221498489379883,8.236557960510254,8.199339866638184,8.21358871459961,0,0.0,0.0
2023-12-30 11:00:00-03:00,8.215142250061035,8.316742897033691,8.215142250061035,8.316742897033691,0,0.0,0.0
2023-12-30 12:00:00-03:00,8.317508697509766,8.37254524230957,8.304521560668945,8.37254524230957,0,0.0,0.0
2023-12-30 13:00:00-03:00,8.373351097106934,8.391670227050781,8.313127517700195,8.321858406066895,0,0.0,0.0
2023-12-30 14:00:00-03:00,8.322284698486328,8.364556312561035,8.30069637298584,8.361696243286133,0,0.0,0.0
2023-12-30 15:00:00-03:00,8.36178207397461,8.36178207397461,8.29588508605957,8.306365966796875,0,0.0,0.0
2023-12-30 16:00:00-03:00,8.307249069213867,8.342437744140625,8.294024467468262,8.312972068786621,0,0.0,0.0
2023-12-30 17:00:00-03:00,8.313674926757812,8.348489761352539,8.302788734436035,8.308083534240723,0,0.0,0.0
2023-12-30 18:00:00-03:00,8.308250427246094,8.36690902709961,8.308250427246094,8.36690902709961,0,0.0,0.0
2023-12-30 19:00:00-03:00,8.369919776916504,8.402549743652344,8.318365097045898,8.333718299865723,0,0.0,0.0
2023-12-30 20:00:00-03:00,8.333451271057129,8.391022682189941,8.33105182647705,8.372455596923828,0,0.0,0.0
2023-12-30 21:00:00-03:00,8.369000434875488,8.403319358825684,8.350647926330566,8.384183883666992,208464,0.0,0.0
2023-12-30 22:00:00-03:00,8.380640029907227,8.380640029907227,8.277019500732422,8.287420272827148,3994688,0.0,0.0
2023-12-30 23:00:00-03:00,8.287205696105957,8.287205696105957,8.178401947021484,8.183537483215332,0,0.0,0.0
2023-12-31 00:00:00-03:00,8.18381118774414,8.209393501281738,8.169600486755371,8.204842567443848,0,0.0,0.0
2023-12-31 01:00:00-03:00,8.20528507232666,8.28294563293457,8.20528507232666,8.266251564025879,0,0.0,0.0
2023-12-31 02:00:00-03:00,8.26613712310791,8.299750328063965,8.26613712310791,8.285144805908203,0,0.0,0.0
2023-12-31 03:00:00-03:00,8.285151481628418,8.330781936645508,8.284894943237305,8.31198501586914,0,0.0,0.0
2023-12-31 04:00:00-03:00,8.311978340148926,8.553349494934082,8.311442375183105,8.543564796447754,24710064,0.0,0.0
2023-12-31 05:00:00-03:00,8.544485092163086,8.57127857208252,8.503583908081055,8.519968032836914,4977168,0.0,0.0
2023-12-31 06:00:00-03:00,8.520649909973145,8.593177795410156,8.51859188079834,8.59304141998291,1515616,0.0,0.0
2023-12-31 07:00:00-03:00,8.592063903808594,8.627558708190918,8.592063903808594,8.599017143249512,7069552,0.0,0.0
2023-12-31 08:00:00-03:00,8.59904956817627,8.608661651611328,8.485355377197266,8.485355377197266,5860448,0.0,0.0
2023-12-31 09:00:00-03:00,8.481346130371094,8.521499633789062,8.468910217285156,8.470695495605469,2828576,0.0,0.0
2023-12-31 10:00:00-03:00,8.47989273071289,8.540831565856934,8.442130088806152,8.540831565856934,7297088,0.0,0.0
2023-12-31 11:00:00-03:00,8.5398588180542,8.5398588180542,8.473213195800781,8.473213195800781,0,0.0,0.0
2023-12-31 12:00:00-03:00,8.470010757446289,8.527787208557129,8.463241577148438,8.490897178649902,1087872,0.0,0.0
2023-12-31 13:00:00-03:00,8.490443229675293,8.524312019348145,8.457709312438965,8.490728378295898,0,0.0,0.0
2023-12-31 14:00:00-03:00,8.489825248718262,8.51663875579834,8.4645357131958,8.505537986755371,0,0.0,0.0
2023-12-31 15:00:00-03:00,8.50578784942627,8.508959770202637,8.432171821594238,8.467223167419434,4479936,0.0,0.0
2023-12-31 16:00:00-03:00,8.46741771697998,8.474836349487305,8.441549301147461,8.4424467086792,11424,0.0,0.0
2023-12-31 17:00:00-03:00,8.44227409362793,8.44227409362793,8.320961952209473,8.325660705566406,2654432,0.0,0.0
2023-12-31 18:00:00-03:00,8.324258804321289,8.399415969848633,8.322340965270996,8.327786445617676,2484480,0.0,0.0
2023-12-31 19:00:00-03:00,8.327522277832031,8.335977554321289,8.128180503845215,8.14526653289795,9005088,0.0,0.0
2023-12-31 20:00:00-03:00,8.14321231842041,8.193203926086426,8.13951587677002,8.193203926086426,8450752,0.0,0.0
2023-12-31 21:00:00-03:00,8.194584846496582,8.261269569396973,8.194584846496582,8.261269569396973,778592,0.0,0.0
2023-12-31 22:00:00-03:00,8.261314392089844,8.312393188476562,8.251340866088867,8.30328369140625,0,0.0,0.0
2023-12-31 23:00:00-03:00,8.30318832397461,8.30318832397461,8.249628067016602,8.256528854370117,0,0.0,0.0
2024-01-01 00:00:00-03:00,8.256558418273926,8.256558418273926,8.150163650512695,8.151830673217773,748832,0.0,0.0
2024-01-01 01:00:00-03:00,8.151805877685547,8.171087265014648,8.099416732788086,8.131609916687012,3656032,0.0,0.0
2024-01-01 02:00:00-03:00,8.13295841217041,8.168549537658691,8.111162185668945,8.111162185668945,3061248,0.0,0.0
2024-01-01 03:00:00-03:00,8.111015319824219,8.147814750671387,8.110657691955566,8.14574909210205,1180704,0.0,0.0
2024-01-01 04:00:00-03:00,8.146042823791504,8.165608406066895,8.12826156616211,8.157160758972168,0,0.0,0.0
2024-01-01 05:00:00-03:00,8.157622337341309,8.177228927612305,8.154841423034668,8.176366806030273,0,0.0,0.0
