Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-27 15:00:00-03:00,3.710875898832455e-05,3.728938099811785e-05,3.7071542465128005e-05,3.728816955117509e-05,0,0.0,0.0
2023-12-27 16:00:00-03:00,3.729133095475845e-05,3.729133095475845e-05,3.711188037414104e-05,3.7172376323724166e-05,134294,0.0,0.0
2023-12-27 17:00:00-03:00,3.716284845722839e-05,3.733433550223708e-05,3.71406895283144e-05,3.724071575561538e-05,136702,0.0,0.0
2023-12-27 18:00:00-03:00,3.730581738636829e-05,3.730581738636829e-05,3.709124575834721e-05,3.709124575834721e-05,642058,0.0,0.0
2023-12-27 19:00:00-03:00,3.707799260155298e-05,3.7116762541700155e-05,3.683923932840116e-05,3.68654727935791e-05,0,0.0,0.0
2023-12-27 20:00:00-03:00,3.675879997899756e-05,3.705482595250942e-05,3.675879997899756e-05,3.705482595250942e-05,0,0.0,0.0
2023-12-27 21:00:00-03:00,3.703371112351306e-05,3.752318662009202e-05,3.6926023312844336e-05,3.752318662009202e-05,726484,0.0,0.0
2023-12-27 22:00:00-03:00,3.745475260075182e-05,3.757000740733929e-05,3.727266812347807e-05,3.7498837627936155e-05,324860,0.0,0.0
2023-12-27 23:00:00-03:00,3.743280467460863e-05,3.743280467460863e-05,3.7217108911136165e-05,3.726970317075029e-05,0,0.0,0.0
2023-12-28 00:00:00-03:00,3.725864371517673e-05,3.7816866097273305e-05,3.7201662053121254e-05,3.7816866097273305e-05,521500,0.0,0.0
2023-12-28 01:00:00-03:00,3.7806807085871696e-05,3.8105124986032024e-05,3.775112418225035e-05,3.791046765400097e-05,668262,0.0,0.0
2023-12-28 02:00:00-03:00,3.786158049479127e-05,3.796984310611151e-05,3.776691301027313e-05,3.782256681006402e-05,1060152,0.0,0.0
2023-12-28 03:00:00-03:00,3.7815701944055036e-05,3.7815701944055036e-05,3.74647461285349e-05,3.7616759072989225e-05,578890,0.0,0.0
2023-12-28 04:00:00-03:00,3.748185554286465e-05,3.7636949855368584e-05,3.7375146348495036e-05,3.7636949855368584e-05,595250,0.0,0.0
2023-12-28 05:00:00-03:00,3.767101588891819e-05,3.7881010939599946e-05,3.742470653378405e-05,3.742470653378405e-05,225580,0.0,0.0
2023-12-28 06:00:00-03:00,3.729342279257253e-05,3.741629552678205e-05,3.728334195329808e-05,3.7299894756870344e-05,119324,0.0,0.0
2023-12-28 07:00:00-03:00,3.7320634874049574e-05,3.7578618503175676e-05,3.722399196703918e-05,3.7578618503175676e-05,0,0.0,0.0
2023-12-28 08:00:00-03:00,3.7542307836702093e-05,3.75443632947281e-05,3.7181245716055855e-05,3.726595241460018e-05,0,0.0,0.0
2023-12-28 09:00:00-03:00,3.7235007766867056e-05,3.7235007766867056e-05,3.630114224506542e-05,3.630683204391971e-05,336576,0.0,0.0
2023-12-28 10:00:00-03:00,3.5993514757137746e-05,3.616858884925023e-05,3.580209886422381e-05,3.602090509957634e-05,638544,0.0,0.0
2023-12-28 11:00:00-03:00,3.604571975301951e-05,3.604571975301951e-05,3.52178503817413e-05,3.527472654241137e-05,758558,0.0,0.0
2023-12-28 12:00:00-03:00,3.522105180309154e-05,3.55676565959584e-05,3.522105180309154e-05,3.5483059036778286e-05,0,0.0,0.0
2023-12-28 13:00:00-03:00,3.542767444741912e-05,3.573591311578639e-05,3.5416585888015106e-05,3.566628583939746e-05,0,0.0,0.0
2023-12-28 14:00:00-03:00,3.565423685358837e-05,3.622701115091331e-05,3.565423685358837e-05,3.5698441934073344e-05,0,0.0,0.0
2023-12-28 15:00:00-03:00,3.567829116946086e-05,3.578204632503912e-05,3.5540964745450765e-05,3.5683242458617315e-05,0,0.0,0.0
2023-12-28 16:00:00-03:00,3.564464350347407e-05,3.5811637644656e-05,3.56316777470056e-05,3.578825999284163e-05,0,0.0,0.0
2023-12-28 17:00:00-03:00,3.5789231333183125e-05,3.5789231333183125e-05,3.530063258949667e-05,3.5483233659761027e-05,0,0.0,0.0
2023-12-28 18:00:00-03:00,3.5498884244589135e-05,3.561877383617684e-05,3.519349775160663e-05,3.519349775160663e-05,0,0.0,0.0
2023-12-28 19:00:00-03:00,3.523403574945405e-05,3.547584492480382e-05,3.523311534081586e-05,3.547584492480382e-05,0,0.0,0.0
2023-12-28 20:00:00-03:00,3.548149106791243e-05,3.562375422916375e-05,3.5353266866877675e-05,3.553655551513657e-05,0,0.0,0.0
2023-12-28 21:00:00-03:00,3.551544068614021e-05,3.56457348971162e-05,3.511005706968717e-05,3.511005706968717e-05,0,0.0,0.0
2023-12-28 22:00:00-03:00,3.5051692975685e-05,3.511246177367866e-05,3.4640430385479704e-05,3.4767021134030074e-05,243168,0.0,0.0
2023-12-28 23:00:00-03:00,3.4786233300110325e-05,3.511739123496227e-05,3.4748580219456926e-05,3.511079557938501e-05,0,0.0,0.0
2023-12-29 00:00:00-03:00,3.511655086185783e-05,3.540450052241795e-05,3.511655086185783e-05,3.530468529788777e-05,0,0.0,0.0
2023-12-29 01:00:00-03:00,3.531426045810804e-05,3.537070006132126e-05,3.526778891682625e-05,3.532836490194313e-05,0,0.0,0.0
2023-12-29 02:00:00-03:00,3.533333074301481e-05,3.568707325030118e-05,3.5330114769749343e-05,3.568707325030118e-05,0,0.0,0.0
2023-12-29 03:00:00-03:00,3.5725046473089606e-05,3.621476935222745e-05,3.5725046473089606e-05,3.588820618460886e-05,0,0.0,0.0
2023-12-29 04:00:00-03:00,3.5911907616537064e-05,3.610008207033388e-05,3.5576191294239834e-05,3.5576191294239834e-05,0,0.0,0.0
2023-12-29 05:00:00-03:00,3.5480319638736546e-05,3.603534787544049e-05,3.5480319638736546e-05,3.5920224036090076e-05,0,0.0,0.0
