Open,High,Low,Close,Volume
2023-12-27 13:00:00-03:00,3.710875898832455e-05,3.729133095475845e-05,3.7071542465128005e-05,3.7172376323724166e-05,134294
2023-12-27 17:00:00-03:00,3.716284845722839e-05,3.733433550223708e-05,3.675879997899756e-05,3.705482595250942e-05,778760
2023-12-27 21:00:00-03:00,3.703371112351306e-05,3.7816866097273305e-05,3.6926023312844336e-05,3.7816866097273305e-05,1572844
2023-12-28 01:00:00-03:00,3.7806807085871696e-05,3.8105124986032024e-05,3.7375146348495036e-05,3.7636949855368584e-05,2902554
2023-12-28 05:00:00-03:00,3.767101588891819e-05,3.7881010939599946e-05,3.7181245716055855e-05,3.726595241460018e-05,344904
2023-12-28 09:00:00-03:00,3.7235007766867056e-05,3.7235007766867056e-05,3.52178503817413e-05,3.5483059036778286e-05,1733678
2023-12-28 13:00:00-03:00,3.542767444741912e-05,3.622701115091331e-05,3.5416585888015106e-05,3.578825999284163e-05,0
2023-12-28 17:00:00-03:00,3.5789231333183125e-05,3.5789231333183125e-05,3.519349775160663e-05,3.553655551513657e-05,0
2023-12-28 21:00:00-03:00,3.551544068614021e-05,3.56457348971162e-05,3.4640430385479704e-05,3.530468529788777e-05,243168
2023-12-29 01:00:00-03:00,3.531426045810804e-05,3.621476935222745e-05,3.526778891682625e-05,3.5576191294239834e-05,0
2023-12-29 05:00:00-03:00,3.5480319638736546e-05,3.659469075500965e-05,3.5480319638736546e-05,3.6492801882559434e-05,369808
2023-12-29 09:00:00-03:00,3.656536864582449e-05,3.6597637517843395e-05,3.541636760928668e-05,3.541636760928668e-05,0
2023-12-29 13:00:00-03:00,3.552301859599538e-05,3.561589619494043e-05,3.489814844215289e-05,3.539452882250771e-05,492876
2023-12-29 17:00:00-03:00,3.537894372129813e-05,3.537894372129813e-05,3.4651824535103515e-05,3.5206125176046044e-05,578935
2023-12-29 21:00:00-03:00,3.5232355003245175e-05,3.578048927010968e-05,3.516877404763363e-05,3.516877404763363e-05,59623
2023-12-30 01:00:00-03:00,3.522463157423772e-05,3.548356471583247e-05,3.518546145642176e-05,3.5188422771170735e-05,19843
2023-12-30 05:00:00-03:00,3.517547156661749e-05,3.517547156661749e-05,3.45787157129962e-05,3.4656626667128876e-05,51747
2023-12-30 09:00:00-03:00,3.4663280530367047e-05,3.4990505810128525e-05,3.4586053516250104e-05,3.4990505810128525e-05,63095
2023-12-30 13:00:00-03:00,3.497172656352632e-05,3.519284655340016e-05,3.496002682368271e-05,3.519198435242288e-05,0
2023-12-30 17:00:00-03:00,3.5115270293317735e-05,3.533680137479678e-05,3.497682700981386e-05,3.5205597669119015e-05,12308
2023-12-30 21:00:00-03:00,3.514476338750683e-05,3.5484772524796426e-05,3.483375257928856e-05,3.4839897125493735e-05,7353
2023-12-31 01:00:00-03:00,3.486921195872128e-05,3.535476207616739e-05,3.4820746805053204e-05,3.519974779919721e-05,204426
2023-12-31 05:00:00-03:00,3.5243014281149954e-05,3.585589365684427e-05,3.520679092616774e-05,3.5457953345030546e-05,696588
2023-12-31 09:00:00-03:00,3.5449986171443015e-05,3.5567696613725275e-05,3.521115650073625e-05,3.530876711010933e-05,179586
2023-12-31 13:00:00-03:00,3.5314515116624534e-05,3.640978684416041e-05,3.525055217323825e-05,3.6241392081137747e-05,4264751
2023-12-31 17:00:00-03:00,3.617901529651135e-05,3.635354369180277e-05,3.498241494526155e-05,3.502816252876073e-05,1629581
2023-12-31 21:00:00-03:00,3.502425170154311e-05,3.531807305989787e-05,3.467036731308326e-05,3.467036731308326e-05,675069
2024-01-01 01:00:00-03:00,3.46592023561243e-05,3.497342186165042e-05,3.4415243135299534e-05,3.4824071917682886e-05,1395646
2024-01-01 05:00:00-03:00,3.486111017991789e-05,3.522971019265242e-05,3.4838460123864934e-05,3.518279117997736e-05,358520
2024-01-01 09:00:00-03:00,3.519032179610804e-05,3.573349749785848e-05,3.511851900839247e-05,3.573349749785848e-05,403254
2024-01-01 13:00:00-03:00,3.575742812245153e-05,3.6531564546748996e-05,3.560901677701622e-05,3.6400957469595596e-05,200006
2024-01-01 17:00:00-03:00,3.637862027972005e-05,3.667916462291032e-05,3.629873754107393e-05,3.663090683403425e-05,32138
2024-01-01 21:00:00-03:00,3.6630797694670036e-05,3.705870403791778e-05,3.6372890463098884e-05,3.705870403791778e-05,923229
2024-01-02 01:00:00-03:00,3.7066613003844395e-05,3.710815144586377e-05,3.679992369143292e-05,3.6854737118119374e-05,22159
2024-01-02 05:00:00-03:00,3.6824789276579395e-05,3.7570851418422535e-05,3.6824789276579395e-05,3.697260399349034e-05,1446979
2024-01-02 09:00:00-03:00,3.7053279811516404e-05,3.7053279811516404e-05,3.591609493014403e-05,3.618200935306959e-05,1161488
2024-01-02 13:00:00-03:00,3.616559479269199e-05,3.6244397051632404e-05,3.575526352506131e-05,3.576269227778539e-05,252454
2024-01-02 17:00:00-03:00,3.5778724850388244e-05,3.5866138205165043e-05,3.5484725231071934e-05,3.551356348907575e-05,124740
2024-01-02 21:00:00-03:00,3.5524215491022915e-05,3.628375270636752e-05,3.5524215491022915e-05,3.6259807529859245e-05,0
