Open,High,Low,Close,Volume
2024-01-03 13:00:00-03:00,9.682125892140903e-06,9.78925709205214e-06,9.438585948373657e-06,9.506011338089593e-06,5033344
2024-01-03 17:00:00-03:00,9.506756214250345e-06,9.616029274184257e-06,9.501442946202587e-06,9.559061254549306e-06,3629504
2024-01-03 21:00:00-03:00,9.560245416651014e-06,9.617019713914488e-06,9.488565410720184e-06,9.586443411535583e-06,7786112
2024-01-04 01:00:00-03:00,9.582779966876842e-06,9.685658369562589e-06,9.575554940965958e-06,9.59799945121631e-06,1317952
2024-01-04 05:00:00-03:00,9.585577572579496e-06,9.643459634389728e-06,9.524166671326384e-06,9.62725516728824e-06,7976128
2024-01-04 09:00:00-03:00,9.627784493204672e-06,1.0085735993925482e-05,9.620426681067329e-06,9.97503138933098e-06,2201216
2024-01-04 13:00:00-03:00,9.974512977350969e-06,1.0002130693465006e-05,9.86935538094258e-06,9.967792720999569e-06,416096
2024-01-04 17:00:00-03:00,9.965641766029876e-06,1.0104065040650312e-05,9.963770025933627e-06,1.0010824553319253e-05,2236592
2024-01-04 21:00:00-03:00,1.0008008757722564e-05,1.0074332749354653e-05,9.74864360614447e-06,9.842318831942976e-06,18375728
2024-01-05 01:00:00-03:00,9.842381587077398e-06,9.86225040833233e-06,9.793606295716017e-06,9.826225323195104e-06,3061824
2024-01-05 05:00:00-03:00,9.826694622461218e-06,9.88232932286337e-06,9.70379369391594e-06,9.704616786621045e-06,4618144
2024-01-05 09:00:00-03:00,9.703612704470288e-06,9.749949640536215e-06,9.550390132062603e-06,9.580669029674027e-06,2269152
2024-01-05 13:00:00-03:00,9.594036782800686e-06,9.67846153798746e-06,9.511240932624787e-06,9.65671642916277e-06,4766640
2024-01-05 17:00:00-03:00,9.656222573539708e-06,9.879090612230357e-06,9.656222573539708e-06,9.830217095441185e-06,1466992
2024-01-05 21:00:00-03:00,9.83049176284112e-06,9.83049176284112e-06,9.721636160975322e-06,9.756687177286949e-06,0
2024-01-06 01:00:00-03:00,9.756722647580318e-06,9.768030395207461e-06,9.39208985073492e-06,9.482619134359993e-06,12966560
2024-01-06 05:00:00-03:00,9.483529538556468e-06,9.591411981091369e-06,9.458675776841119e-06,9.5833229352138e-06,0
2024-01-06 09:00:00-03:00,9.584437975718174e-06,9.74573049461469e-06,9.545421562506817e-06,9.739374945638701e-06,0
2024-01-06 13:00:00-03:00,9.737105756357778e-06,9.742369002196938e-06,9.605214472685475e-06,9.622527613828424e-06,0
2024-01-06 17:00:00-03:00,9.623627192922868e-06,9.63410366239259e-06,9.554475582262967e-06,9.605756531527732e-06,0
2024-01-06 21:00:00-03:00,9.604985280020628e-06,9.646787475503515e-06,9.554715688864235e-06,9.581090125720948e-06,1985696
2024-01-07 01:00:00-03:00,9.581063750374597e-06,9.672566193330567e-06,9.57970132731134e-06,9.634412890591193e-06,262576
2024-01-07 05:00:00-03:00,9.635253263695631e-06,9.644712918088771e-06,9.477334970142692e-06,9.49297464103438e-06,5024616
2024-01-07 09:00:00-03:00,9.492560820945073e-06,9.553227755532134e-06,9.383275937580038e-06,9.397562280355487e-06,2158560
2024-01-07 13:00:00-03:00,9.396943823958281e-06,9.423201845493168e-06,9.30052647163393e-06,9.369309736939613e-06,5302008
2024-01-07 17:00:00-03:00,9.37100139708491e-06,9.378377399116289e-06,8.99032693268964e-06,9.015415344038047e-06,20232264
2024-01-07 21:00:00-03:00,9.017924639920238e-06,9.047649655258283e-06,8.573813829571009e-06,8.734048606129363e-06,39333048
2024-01-08 01:00:00-03:00,8.734802577237133e-06,9.107445293921046e-06,8.711175723874476e-06,9.020434845297132e-06,16383248
2024-01-08 05:00:00-03:00,9.02174178918358e-06,9.106796824198682e-06,8.967948815552518e-06,9.106796824198682e-06,4740448
2024-01-08 09:00:00-03:00,9.10834023670759e-06,9.25510630622739e-06,9.10834023670759e-06,9.179987500829156e-06,18096208
2024-01-08 13:00:00-03:00,9.180325832858216e-06,9.569058420311194e-06,9.14558313525049e-06,9.568173481966369e-06,21243280
2024-01-08 17:00:00-03:00,9.570804650138598e-06,9.58460987021681e-06,9.469128599448595e-06,9.578411663824227e-06,2809280
2024-01-08 21:00:00-03:00,9.57851625571493e-06,9.584082363289781e-06,9.36434753384674e-06,9.40814697969472e-06,1284192
2024-01-09 01:00:00-03:00,9.408538062416483e-06,9.551760740578175e-06,9.408538062416483e-06,9.50922640186036e-06,6048
2024-01-09 05:00:00-03:00,9.508647963230032e-06,9.528836926619988e-06,9.31591148400912e-06,9.38857647270197e-06,2583312
2024-01-09 09:00:00-03:00,9.391484127263539e-06,9.423947631148621e-06,9.169388249574695e-06,9.27294331631856e-06,9575792
2024-01-09 13:00:00-03:00,9.271564522350673e-06,9.970573046302889e-06,9.25505537452409e-06,9.705546290206257e-06,65672480
2024-01-09 17:00:00-03:00,9.709588084660936e-06,9.77623221842805e-06,9.518138540443033e-06,9.636866707296576e-06,53873248
2024-01-09 21:00:00-03:00,9.643327757657971e-06,9.833439435169566e-06,9.631873581383843e-06,9.663684068073053e-06,514976
2024-01-10 01:00:00-03:00,9.664045137469657e-06,9.681923074822407e-06,9.444172064831946e-06,9.45789179240819e-06,3563360
2024-01-10 05:00:00-03:00,9.455498911847826e-06,9.562460036249831e-06,9.36592732614372e-06,9.507091817795299e-06,9184
2024-01-10 09:00:00-03:00,9.509166375210043e-06,9.509166375210043e-06,9.184400369122159e-06,9.421849426871631e-06,1873312
2024-01-10 13:00:00-03:00,9.448250239074696e-06,9.53823564486811e-06,9.381324161950033e-06,9.525128007226158e-06,292576
2024-01-10 17:00:00-03:00,9.524594133836217e-06,1.0144293810299132e-05,9.379431503475644e-06,9.972195584850851e-06,31062496
2024-01-10 21:00:00-03:00,9.975506145565305e-06,1.01449959402089e-05,9.880539437290281e-06,1.0106274203280918e-05,20356544
2024-01-11 01:00:00-03:00,1.0113529242516961e-05,1.0153595212614164e-05,9.927208338922355e-06,1.0087002920045052e-05,15119824
2024-01-11 05:00:00-03:00,1.0085545909532811e-05,1.0372010365244932e-05,1.0057671715912875e-05,1.0366009519202635e-05,20762208
2024-01-11 09:00:00-03:00,1.0366151400376111e-05,1.0491191460459959e-05,1.0068359188153408e-05,1.0117092642758507e-05,40888128
2024-01-11 13:00:00-03:00,1.0128022950084414e-05,1.0248934813716915e-05,9.9849939942942e-06,1.0246442798234057e-05,17735936
2024-01-11 17:00:00-03:00,1.0244141776638571e-05,1.0281473805662245e-05,1.0049832781078294e-05,1.0159556040889584e-05,0
2024-01-11 21:00:00-03:00,1.0158233635593206e-05,1.0184849088545889e-05,1.0006388947658706e-05,1.0169982488150708e-05,15168
