Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-27 15:00:00-03:00,3.495038254186511e-05,3.5088112781522796e-05,3.4831991797545925e-05,3.5088112781522796e-05,0,0.0,0.0
2023-12-27 16:00:00-03:00,3.5149907489540055e-05,3.5149907489540055e-05,3.4938457247335464e-05,3.4938457247335464e-05,245080,0.0,0.0
2023-12-27 17:00:00-03:00,3.499113881844096e-05,3.557515810825862e-05,3.499113881844096e-05,3.557515810825862e-05,1171296,0.0,0.0
2023-12-27 18:00:00-03:00,3.559765900718048e-05,3.7323046853998676e-05,3.559765900718048e-05,3.7323046853998676e-05,10546056,0.0,0.0
2023-12-27 19:00:00-03:00,3.7348727346397936e-05,3.866570477839559e-05,3.6703037039842457e-05,3.866570477839559e-05,15245392,0.0,0.0
2023-12-27 20:00:00-03:00,3.823348379228264e-05,3.968999226344749e-05,3.77121614292264e-05,3.968999226344749e-05,17756192,0.0,0.0
2023-12-27 21:00:00-03:00,3.982881753472611e-05,3.982881753472611e-05,3.797546378336847e-05,3.807655593845993e-05,25160704,0.0,0.0
2023-12-27 22:00:00-03:00,3.824777013505809e-05,3.913281761924736e-05,3.795217344304547e-05,3.795217344304547e-05,13001104,0.0,0.0
2023-12-27 23:00:00-03:00,3.803570871241391e-05,3.8456953916465864e-05,3.803570871241391e-05,3.8087688153609633e-05,2871392,0.0,0.0
2023-12-28 00:00:00-03:00,3.8091828173492104e-05,3.895126792485826e-05,3.797901081270538e-05,3.895126792485826e-05,3587968,0.0,0.0
2023-12-28 01:00:00-03:00,3.9268710679607466e-05,4.068567432113923e-05,3.924598058802076e-05,3.936302528018132e-05,22361936,0.0,0.0
2023-12-28 02:00:00-03:00,3.922078030882403e-05,3.925837518181652e-05,3.811287024291232e-05,3.8856440369272605e-05,0,0.0,0.0
2023-12-28 03:00:00-03:00,3.879598079947755e-05,3.996705709141679e-05,3.879598079947755e-05,3.996705709141679e-05,5213008,0.0,0.0
2023-12-28 04:00:00-03:00,4.0099082980304956e-05,4.149808955844492e-05,3.927788566215895e-05,3.9314571040449664e-05,15472896,0.0,0.0
2023-12-28 05:00:00-03:00,3.9221653423737735e-05,3.9721511711832136e-05,3.864058089675382e-05,3.864058089675382e-05,3233840,0.0,0.0
2023-12-28 06:00:00-03:00,3.841481520794332e-05,3.889404615620151e-05,3.8216618122532964e-05,3.855279283015989e-05,2289120,0.0,0.0
