Open,High,Low,Close,Volume
2023-12-27 13:00:00-03:00,3.495038254186511e-05,3.5149907489540055e-05,3.4831991797545925e-05,3.4938457247335464e-05,245080
2023-12-27 17:00:00-03:00,3.499113881844096e-05,3.968999226344749e-05,3.499113881844096e-05,3.968999226344749e-05,44718936
2023-12-27 21:00:00-03:00,3.982881753472611e-05,3.982881753472611e-05,3.795217344304547e-05,3.895126792485826e-05,44621168
2023-12-28 01:00:00-03:00,3.9268710679607466e-05,4.149808955844492e-05,3.811287024291232e-05,3.9314571040449664e-05,43047840
2023-12-28 05:00:00-03:00,3.9221653423737735e-05,3.9721511711832136e-05,3.8216618122532964e-05,3.94649978261441e-05,5758384
2023-12-28 09:00:00-03:00,3.9170728996396065e-05,4.024062945973128e-05,3.8026217225706205e-05,3.8707443309249356e-05,28155712
2023-12-28 13:00:00-03:00,3.866472980007529e-05,3.8728583604097366e-05,3.752126212930307e-05,3.8005739043001086e-05,4487264
2023-12-28 17:00:00-03:00,3.7997109757270664e-05,3.820428537437692e-05,3.750059840967879e-05,3.800213380600326e-05,0
2023-12-28 21:00:00-03:00,3.805017695412971e-05,3.936120992875658e-05,3.61251259164419e-05,3.668013960123062e-05,230576
2023-12-29 01:00:00-03:00,3.665477197500877e-05,3.6894500226480886e-05,3.633690721471794e-05,3.640989598352462e-05,0
2023-12-29 05:00:00-03:00,3.639112401288003e-05,3.7412086385302246e-05,3.6375851777847856e-05,3.708403528435156e-05,1315888
2023-12-29 09:00:00-03:00,3.709983138833195e-05,3.978957829531282e-05,3.6939960409654304e-05,3.871345325023867e-05,17660104
2023-12-29 13:00:00-03:00,3.8732025132048875e-05,3.8732025132048875e-05,3.737945735338144e-05,3.7862075259909034e-05,0
2023-12-29 17:00:00-03:00,3.78929398721084e-05,3.801229104283266e-05,3.695085251820274e-05,3.751247641048394e-05,71104
2023-12-29 21:00:00-03:00,3.752662451006472e-05,3.833807204500772e-05,3.719702726812102e-05,3.719702726812102e-05,0
2023-12-30 01:00:00-03:00,3.7232595786917955e-05,4.061825529788621e-05,3.7184610846452415e-05,3.945360367652029e-05,32387880
2023-12-30 05:00:00-03:00,3.942735565942712e-05,3.94577655242756e-05,3.812798604485579e-05,3.9284408558160067e-05,6300400
2023-12-30 09:00:00-03:00,3.924945121980272e-05,4.0678725781617686e-05,3.854130409308709e-05,3.9935392123879865e-05,13257128
2023-12-30 13:00:00-03:00,3.991465928265825e-05,4.034190715174191e-05,3.895759073202498e-05,3.8977515941951424e-05,1124864
2023-12-30 17:00:00-03:00,3.895343979820609e-05,3.933558764401823e-05,3.8821901398478076e-05,3.886552440235391e-05,826152
2023-12-30 21:00:00-03:00,3.881701923091896e-05,3.945892603951506e-05,3.731642209459096e-05,3.747206574189477e-05,1997656
2023-12-31 01:00:00-03:00,3.748816016013734e-05,3.832454967778176e-05,3.7381352740339935e-05,3.798777106567286e-05,505624
2023-12-31 05:00:00-03:00,3.817336983047426e-05,3.933121479349211e-05,3.817336983047426e-05,3.827421824098565e-05,0
2023-12-31 09:00:00-03:00,3.828242915915325e-05,3.843834201688878e-05,3.780507904593833e-05,3.780507904593833e-05,0
2023-12-31 13:00:00-03:00,3.771657793549821e-05,3.7989015254424885e-05,3.7376052205218e-05,3.742949047591537e-05,5780
2023-12-31 17:00:00-03:00,3.738308805623092e-05,3.760593608603813e-05,3.689697405206971e-05,3.729184754774906e-05,369692
2023-12-31 21:00:00-03:00,3.7276102375471964e-05,3.760405888897367e-05,3.69304179912433e-05,3.695122359204106e-05,0
2024-01-01 01:00:00-03:00,3.691673919092864e-05,3.9056503737811e-05,3.6502719012787566e-05,3.857733463519253e-05,12882568
2024-01-01 05:00:00-03:00,3.858458876493387e-05,3.8601567212026566e-05,3.7988076655892655e-05,3.8134105125209317e-05,3344144
2024-01-01 09:00:00-03:00,3.815268792095594e-05,3.8207472243811935e-05,3.7684971175622195e-05,3.7799654819536954e-05,0
2024-01-01 13:00:00-03:00,3.782956628128886e-05,3.8506950659211725e-05,3.775426375796087e-05,3.8506950659211725e-05,318020
2024-01-01 17:00:00-03:00,3.8505626434925944e-05,3.858166382997297e-05,3.803207800956443e-05,3.8333077100105584e-05,295436
2024-01-01 21:00:00-03:00,3.839367855107412e-05,3.926363933715038e-05,3.817925971816294e-05,3.899605508195236e-05,5897436
2024-01-02 01:00:00-03:00,3.9043563447194174e-05,3.985399234807119e-05,3.8839141780044883e-05,3.927972647943534e-05,4993004
2024-01-02 05:00:00-03:00,3.923167605535127e-05,3.950553946197033e-05,3.8701942685293034e-05,3.874571484629996e-05,1129390
2024-01-02 09:00:00-03:00,3.8758495065849274e-05,3.893083339789882e-05,3.803922299994156e-05,3.827209729934111e-05,2567220
2024-01-02 13:00:00-03:00,3.824585292022675e-05,3.830295827356167e-05,3.784773434745148e-05,3.7858197174500674e-05,33452
2024-01-02 17:00:00-03:00,3.784246291616e-05,3.79557823180221e-05,3.772576019400731e-05,3.781843406613916e-05,52584
2024-01-02 21:00:00-03:00,3.782651401706971e-05,3.8217403925955296e-05,3.771653427975252e-05,3.79142293240875e-05,0
2024-01-03 01:00:00-03:00,3.772078707697801e-05,3.83676087949425e-05,3.7694138882216066e-05,3.779436519835144e-05,650166
2024-01-03 05:00:00-03:00,3.780089900828898e-05,3.8195703382370993e-05,3.671442755148746e-05,3.671442755148746e-05,2803922
2024-01-03 09:00:00-03:00,3.638646740000695e-05,3.638646740000695e-05,3.2514853955945e-05,3.4491873520892113e-05,10098478
2024-01-03 13:00:00-03:00,3.4639389923540875e-05,3.490853123366833e-05,3.394381201360375e-05,3.394875966478139e-05,1774184
2024-01-03 17:00:00-03:00,3.39370162691921e-05,3.443250170676038e-05,3.389035555301234e-05,3.392520738998428e-05,425144
2024-01-03 21:00:00-03:00,3.396278771106154e-05,3.4862227039411664e-05,3.348346217535436e-05,3.450970689300448e-05,4583116
